source,target,source_id_lab,target_id_lab,weight,weight_recs,weight_tfidf
6,35,FMA:14966 Distal part of Ileum,ASCTB-TEMP:paneth,1,2,0.056298468
6,36,FMA:14966 Distal part of Ileum,ASCTB-TEMP:plasma,1,2,0.028165598
6,37,FMA:14966 Distal part of Ileum,ASCTB-TEMP:smooth-muscle,1,2,0.122928518
6,38,FMA:14966 Distal part of Ileum,ASCTB-TEMP:stroma,1,2,0.083988342
6,39,FMA:14966 Distal part of Ileum,ASCTB-TEMP:ta,1,2,0.019002551
7,15,UBERON:0001052 Rectum,ASCTB-TEMP:b,1,1,0.014927654
7,16,UBERON:0001052 Rectum,ASCTB-TEMP:cd4-t-cell,1,1,0.032941436
7,17,UBERON:0001052 Rectum,ASCTB-TEMP:cd57-enterocyte,1,1,0.000251494
7,18,UBERON:0001052 Rectum,ASCTB-TEMP:cd66-enterocyte,1,1,0.02590387
7,19,UBERON:0001052 Rectum,ASCTB-TEMP:cd7-immune,1,1,0.001589953
7,20,UBERON:0001052 Rectum,ASCTB-TEMP:cd8-t,1,1,0.024313917
7,21,UBERON:0001052 Rectum,ASCTB-TEMP:cycling-ta,1,1,0.021070072
7,22,UBERON:0001052 Rectum,ASCTB-TEMP:dc,1,1,0.014897816
7,23,UBERON:0001052 Rectum,ASCTB-TEMP:endothelial,1,1,0.05006007
7,24,UBERON:0001052 Rectum,ASCTB-TEMP:enterocyte,1,1,0.048630891
7,25,UBERON:0001052 Rectum,ASCTB-TEMP:goblet,1,1,0.06669703
7,26,UBERON:0001052 Rectum,ASCTB-TEMP:icc,1,1,0.005099006
7,27,UBERON:0001052 Rectum,ASCTB-TEMP:lymphatic,1,1,0.021922594
7,28,UBERON:0001052 Rectum,ASCTB-TEMP:m1-macrophage,1,1,0.005179069
7,29,UBERON:0001052 Rectum,ASCTB-TEMP:m2-macrophage,1,1,0.042250972
7,30,UBERON:0001052 Rectum,ASCTB-TEMP:muc1-enterocyte,1,1,0.00580141
7,31,UBERON:0001052 Rectum,ASCTB-TEMP:nerve,1,1,0.024509997
7,32,UBERON:0001052 Rectum,ASCTB-TEMP:neuroendocrine,1,1,0.00415178
7,33,UBERON:0001052 Rectum,ASCTB-TEMP:neutrophil,1,1,0.003439925
7,34,UBERON:0001052 Rectum,ASCTB-TEMP:nk,1,1,0.00148765
7,35,UBERON:0001052 Rectum,ASCTB-TEMP:paneth,1,1,0.000981325
7,36,UBERON:0001052 Rectum,ASCTB-TEMP:plasma,1,1,0.039075329
7,37,UBERON:0001052 Rectum,ASCTB-TEMP:smooth-muscle,1,1,0.18806201
7,38,UBERON:0001052 Rectum,ASCTB-TEMP:stroma,1,1,0.088717664
7,39,UBERON:0001052 Rectum,ASCTB-TEMP:ta,1,1,0.028299619
8,15,UBERON:0001153 Caecum,ASCTB-TEMP:b,1,1,0.008854888
8,16,UBERON:0001153 Caecum,ASCTB-TEMP:cd4-t-cell,1,1,0.0372927
