rui_location,organ,as_label,as_id,intersection_volume
http://purl.org/ccf/1.5/bb8f70e2-273f-4902-a2ce-70a110aee2ec_AllenWangLungMap_MALE_tissueblock_RUI,VHMLung,Right Lateral Bronchopulmonary Segment,http://purl.org/sig/ont/fma/fma7361,162410.7
http://purl.org/ccf/1.5/bb8f70e2-273f-4902-a2ce-70a110aee2ec_AllenWangLungMap_MALE_tissueblock_RUI,VHMLung,Lateral segmental bronchus,http://purl.org/sig/ont/fma/fma7402,665.072
http://purl.org/ccf/1.5/c8cdaa06-847b-4747-9a00-d89761cea031,VHMLung,Left apical bronchopulmonary segment,http://purl.org/sig/ont/fma/fma7385,174591.4
http://purl.org/ccf/1.5/cfa23a23-1cef-4a6f-8303-d1198e91a773,VHMLung,Left posterior bronchopulmonary segment,http://purl.org/sig/ont/fma/fma7386,240984.7
http://purl.org/ccf/1.5/d51b9d67-837f-4451-a6c6-0b63c7879736,VHMLung,Right Medial Bronchopulmonary Segment,http://purl.org/sig/ont/fma/fma7360,229965.0
http://purl.org/ccf/1.5/d662fd53-e925-4921-8d8b-bc91eed1519b,VHMLung,Right Medial Bronchopulmonary Segment,http://purl.org/sig/ont/fma/fma7360,229965.0
http://purl.org/ccf/1.5/f15f5400-2ef9-45fc-bf0f-72f14d6f8f9e,VHMLung,Right Medial Bronchopulmonary Segment,http://purl.org/sig/ont/fma/fma7360,229965.0
http://purl.org/ccf/1.5/f4a116d7-f844-4d4a-bc8f-632151125313,VHMLung,Left Anterior Bronchopulmonary Segment,http://purl.org/sig/ont/fma/fma7373,444225.2
http://purl.org/ccf/1.5/fd4fcec2-93c3-428f-ad3a-6c7ac4196da0,VHMLung,Right Medial Bronchopulmonary Segment,http://purl.org/sig/ont/fma/fma7360,229965.0
http://purl.org/ccf/1.5/fd4fcec2-93c3-428f-ad3a-6c7ac4196da0,VHMLung,Right Lateral Bronchopulmonary Segment,http://purl.org/sig/ont/fma/fma7361,162410.7
http://purl.org/ccf/1.5/5475ae38-db50-4868-92ba-8718bf136c7b,VHMProstate,peripheral zone of prostate,http://purl.obolibrary.org/obo/UBERON_8410026,4502.339
http://purl.org/ccf/1.5/5475ae38-db50-4868-92ba-8718bf136c7b,VHMProstate,peripheral zone of prostate,http://purl.obolibrary.org/obo/UBERON_8410026,4398.495
http://purl.org/ccf/1.5/5475ae38-db50-4868-92ba-8718bf136c7b,VHMProstate,central zone of prostate,http://purl.obolibrary.org/obo/UBERON_8410027,1846.38
http://purl.org/ccf/1.5/5475ae38-db50-4868-92ba-8718bf136c7b,VHMProstate,central zone of prostate,http://purl.obolibrary.org/obo/UBERON_8410027,1753.812
http://purl.org/ccf/1.5/57bab703-98bd-4106-9160-af951a74e4df,VHMRightKidney,renal pyramid,http://purl.obolibrary.org/obo/UBERON_0004200,1911.797
http://purl.org/ccf/1.5/57bab703-98bd-4106-9160-af951a74e4df,VHMRightKidney,renal papilla,http://purl.obolibrary.org/obo/UBERON_0001228,32.27643
http://purl.org/ccf/1.5/69ac0df4-f442-4d62-90dc-86fcbc38eb23,VHMRightKidney,renal pyramid,http://purl.obolibrary.org/obo/UBERON_0004200,4454.755
http://purl.org/ccf/1.5/6a6392a9-8ac1-4666-a684-83d310ca055f,VHMRightKidney,outer cortex of kidney,http://purl.obolibrary.org/obo/UBERON_0002189,109925.0
